Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
751,Garnier_etal_SM/C,GRASS/M,Ruscus aculeatus,S,,B,C3,N,,1.74,0.430,0.172,,,,,,,,,,,,
752,Garnier_etal_SM/C,GRASS/M,Sanguisorba minor,H,D,B,C3,N,0.49,1.71,0.322,0.035,,,2.32,1.03,,,,,,,,
753,Garnier_etal_SM/C,GRASS/M,Scabiosa atropurpurea,H,,B,C3,N,,1.92,0.394,0.315,,,,,,,,,,,,
754,Garnier_etal_SM/C,GRASS/M,Stachys officinalis,H,,B,C3,N,,1.78,0.317,0.099,,,,,,,,,,,,
755,Garnier_etal_SM/C,GRASS/M,Teuchrium chamaedrys,S,E,B,C3,N,0.72,1.89,0.299,0.185,,,1.73,0.61,,,,,,,,
756,Garnier_etal_SM/C,GRASS/M,Thymus vulgaris,S,E,B,C3,N,0.77,1.90,0.296,0.193,,,1.92,0.82,,,,,,,,
757,Garnier_etal_SM/C,GRASS/M,Trifolium angustifolium,H,,B,C3,Y,,1.66,0.512,0.175,,,,,,,,,,,,
758,Garnier_etal_SM/C,GRASS/M,Urospermum dalechampii,H,,B,C3,N,,1.62,0.320,-0.062,,,,,,,,,,,,
759,Garnier_etal_SM/C,GRASS/M,Viburnum tinus,S,E,B,C3,N,,1.92,0.039,-0.037,,,,,,,,,,,,
760,Garnier_etal_SM/C,GRASS/M,Viola scotophylla,H,D,B,C3,N,0.57,1.68,0.292,-0.032,,,2.26,0.93,,,,,,,,
761,Garnier_etal_SM/C,GRASS/M,Vulpia ciliata,G,,,,N,,1.42,0.320,-0.234,,,,,,,,,,,,
762,Garnier_etal_SM/C,GRASS/M,Xeranthemum inapertum,H,D,B,C3,N,0.27,1.45,0.498,-0.053,,,2.57,1.02,,,,,,,,
763,Gulias_Binifaldó,WLAND,Cistus monspeliensis,S,E,B,C3,N,,2.13,0.320,0.539,,,2.27,1.38,2.44,,,164.4,,,,
764,Gulias_Binifaldó,WLAND,Cneorum tricoccon,S,E,B,C3,N,,2.00,0.303,0.387,,,2.03,1.03,1.96,,,208.8,,,,
765,Gulias_Binifaldó,WLAND,Hypericum balearicum,S,E,B,C3,N,,2.07,0.389,0.734,,,2.00,1.03,2.34,,,103.1,,,,
766,Gulias_Binifaldó,WLAND,Phillyrea latifolia,S,E,B,C3,N,,2.08,0.250,0.478,,,2.03,1.10,2.18,,,158.9,,,,
767,Gulias_Binifaldó,WLAND,Pinus halepensis,T,E,N,C3,N,,2.10,0.114,0.212,,,1.78,0.88,1.96,,,153.0,,,,
768,Gulias_Binifaldó,WLAND,Pistacia lentiscus,S,E,B,C3,N,,2.32,0.149,0.453,,,1.80,1.10,2.17,,,169.6,,,,
769,Gulias_Binifaldó,WLAND,Rhamnus ludovici-salvatoris,S,E,B,C3,N,,2.22,0.260,0.329,,,1.77,0.98,2.25,,,105.6,,,,
770,Gulias_Binifaldó,WLAND,Urginea maritima,H,,B,C3,N,,2.04,0.493,0.672,,,2.05,1.09,2.23,,,152.5,,,,
771,Gulias_Puigpunyent,WLAND,Arbutus unedo,T,E,B,C3,N,,2.22,0.076,0.118,,,1.74,0.96,2.13,,,139.9,,,,
772,Gulias_Puigpunyent,WLAND,Cistus albidus,S,E,B,C3,N,,2.04,0.288,0.628,,,2.20,1.22,2.67,,,82.4,,,,
773,Gulias_Puigpunyent,WLAND,Cistus salvifolius,S,E,B,C3,N,,2.13,0.267,0.307,,,2.16,1.29,2.72,,,85.4,,,,
774,Gulias_Puigpunyent,WLAND,Quercus coccifera,S,E,B,C3,N,,2.23,0.079,0.206,,,1.77,1.00,2.02,,,179.8,,,,
775,Gulias_Puigpunyent,WLAND,Quercus Ilex,T,E,B,C3,N,,2.29,0.196,0.411,,,1.78,1.06,2.33,,,125.0,,,,
776,Gulias_Puigpunyent,WLAND,Rhamnus alaternus,S,E,B,C3,N,,2.18,0.305,0.438,,,1.83,1.01,2.20,,,133.0,,,,
777,Gulias_Sóller,WLAND,Acer opalus,T,D,B,C3,N,,1.75,0.515,0.267,,,2.13,0.87,2.05,,,133.8,,,,
778,Gulias_Sóller,WLAND,Avenula crassifolia,H,,B,C3,N,,1.96,0.346,0.311,,,2.16,1.13,2.26,,,141.5,,,,
779,Gulias_Sóller,WLAND,Capparis spinosa,S,D,B,C3,N,,1.89,0.674,0.564,,,2.56,1.44,2.89,,,113.2,,,,
780,Gulias_Sóller,WLAND,Cephalaria squamiflora,S,E,B,C3,N,,2.06,0.360,0.418,,,2.24,1.29,2.56,,,133.2,,,,
781,Gulias_Sóller,WLAND,Crepis triasii,H,E,B,C3,N,,1.73,0.520,0.248,,,2.45,1.18,2.72,,,92.0,,,,
782,Gulias_Sóller,WLAND,Delphinium pictium,H,,B,C3,N,,1.75,0.592,0.347,,,2.51,1.26,2.47,,,141.8,,,,
783,Gulias_Sóller,WLAND,Dianthus rupicola,H,,B,C3,N,,2.06,0.307,0.366,,,2.15,1.21,2.27,,,158.8,,,,
784,Gulias_Sóller,WLAND,Euphorbia margalidiana,S,E,B,C3,N,,1.90,0.565,0.469,,,2.22,1.12,2.22,,,169.2,,,,
785,Gulias_Sóller,WLAND,Globularia cambessedesii,S,E,B,C3,N,,2.20,0.212,0.408,,,2.03,1.22,2.36,,,154.2,,,,
786,Gulias_Sóller,WLAND,Ligusticum huteri,S,E,B,C3,N,,1.60,0.618,0.222,,,2.59,1.19,2.47,,,115.8,,,,
787,Gulias_Sóller,WLAND,Limonium migjornense,S,E,B,C3,N,,2.03,0.393,0.425,,,2.19,1.22,2.32,,,166.0,,,,
788,Gulias_Sóller,WLAND,Phlomis italica,S,E,B,C3,N,,2.04,0.320,0.362,,,2.26,1.30,2.62,,,122.0,,,,
789,Gulias_Sóller,WLAND,Pistacia terebinthus,S,D,B,C3,N,,2.13,0.450,0.580,,,2.19,1.31,2.57,,,134.0,,,,
790,Gulias_Sóller,WLAND,Pteridium aquilinum,F,,B,C3,N,,2.03,0.332,0.367,,,2.06,1.09,2.13,,,167.0,,,,
791,Gulias_Sóller,WLAND,Silene mollisima,S,E,B,C3,N,,1.84,0.563,0.399,,,2.33,1.16,2.37,,,131.0,,,,
792,Gulias_Sóller,WLAND,Urtica atrovirens,H,,B,C3,N,,1.64,0.610,0.254,,,2.55,1.19,2.53,,,107.5,,,,
793,Gulias_Sóller,WLAND,Viola jaubertiana,H,E,B,C3,N,,1.72,0.562,0.284,,,2.34,1.05,2.37,,,112.5,,,,
794,Gulias_Sóller,WLAND,Viola stolonifera,H,E,B,C3,N,,1.59,0.622,0.211,,,2.51,1.10,2.36,,,125.3,,,,
795,Gulias_Sóller,WLAND,Viola x balearica,H,E,B,C3,N,,1.80,0.430,0.233,,,2.27,1.07,2.26,,,138.5,,,,
796,Gulias_UIB,WLAND,Amaranthus blitoides,H,,B,C4,N,,1.74,0.635,0.377,,,2.79,1.53,2.40,,,266.5,,,,
797,Gulias_UIB,WLAND,Amaranthus retroflexus,H,,B,C4,N,,1.77,0.407,0.177,,,2.53,1.30,2.15,,,283.9,,,,
798,Gulias_UIB,WLAND,Anagyris foetida,S,D,B,C3,Y,,1.98,0.571,0.624,,,2.36,1.33,2.58,,,149.8,,,,
799,Gulias_UIB,WLAND,Atriplex halimus,S,E,B,C4,N,,1.94,0.716,0.658,,,2.41,1.34,2.43,,,202.2,,,,
800,Gulias_UIB,WLAND,Beta vulgaris,H,,B,C3,N,,1.71,0.581,0.560,,,2.65,1.35,2.87,,,117.3,,,,
801,Gulias_UIB,WLAND,Ceratonia siliqua,T,E,B,C3,Y,,2.40,0.155,0.557,,,1.72,1.12,2.44,,,118.8,,,,
802,Gulias_UIB,WLAND,Chenopodium album,H,,B,C3,N,,1.83,0.623,0.336,,,2.60,1.42,2.91,,,126.2,,,,
803,Gulias_UIB,WLAND,Cichorium intybus,H,,B,C3,N,,1.54,0.550,0.094,,,2.74,1.27,2.89,,,94.3,,,,
804,Gulias_UIB,WLAND,Convolvulus arvensis,H,,B,C3,N,,1.62,0.738,0.359,,,2.63,1.24,2.64,,,99.8,,,,
805,Gulias_UIB,WLAND,Datura stramonium,H,,B,C3,N,,1.68,0.757,0.607,,,2.78,1.46,3.09,,,114.8,,,,
806,Gulias_UIB,WLAND,Dittrichia viscosa,S,,B,C3,N,,1.73,0.531,0.263,,,2.50,1.22,2.60,,,99.0,,,,
807,Gulias_UIB,WLAND,Fraxinus angustifolia,T,D,B,C3,N,,2.05,0.375,0.446,,,2.31,1.36,2.64,,,130.5,,,,
808,Gulias_UIB,WLAND,Helleborus lividus,S,E,B,C3,N,,2.23,0.228,0.288,,,1.88,1.11,2.30,,,149.7,,,,
809,Gulias_UIB,WLAND,Helleborus foetidus,S,E,B,C3,N,,2.23,0.220,0.453,,,1.84,1.06,2.38,,,118.5,,,,
810,Gulias_UIB,WLAND,Lavandula dentata,S,E,B,C3,N,,1.90,0.391,0.291,,,2.47,1.38,2.64,,,113.8,,,,
811,Gulias_UIB,WLAND,Lavatera cretica,H,,B,C3,N,,1.68,0.702,0.382,,,2.80,1.46,2.89,,,115.7,,,,
812,Gulias_UIB,WLAND,Paeonia cambessedesii,H,,B,C3,N,,2.06,0.241,0.174,,,2.02,1.08,2.34,,,132.0,,,,
813,Gulias_UIB,WLAND,Populus alba,T,D,B,C3,N,,1.96,0.371,0.056,,,2.28,1.22,2.35,,,169.0,,,,
814,Gulias_UIB,WLAND,Quercus humilis,T,D,B,C3,N,,2.02,0.436,0.441,,,2.20,1.22,2.41,,,141.3,,,,
815,Gulias_UIB,WLAND,Verbascum sinuatum,H,,B,C3,N,,1.86,0.318,0.183,,,2.53,1.40,2.89,,,120.7,,,,
816,Gulias_UIB,WLAND,Vitex agnus-castus,S,D,B,C3,N,,1.92,0.524,0.444,,,2.44,1.35,2.67,,,140.5,,,,
817,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Castanopsis sieboldii,T,E,B,C3,N,1.15,2.08,0.002,0.086,,,1.65,0.78,,,,99.8,,,,
818,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Quercus acuta,T,E,B,C3,N,1.16,2.05,-0.100,-0.055,,,1.67,0.75,,,,89.3,,,,
819,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Camellia japonica,T,E,B,C3,N,1.09,2.01,0.006,0.011,,,1.86,0.87,,,,86.9,,,,
820,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Cleyera japonica,T,E,B,C3,N,0.89,2.02,0.060,0.085,,,1.84,0.87,,,,81.3,,,,
821,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Cinnamomum japonicum,T,E,B,C3,N,1.38,2.05,-0.010,0.040,,,1.61,0.67,,,,104.5,,,,
822,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Neolitsea sericea,T,E,B,C3,N,1.20,1.98,0.021,0.001,,,1.62,0.59,,,,114.3,,,,
823,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Illicium anisatum,T,E,B,C3,N,1.22,1.76,0.098,-0.139,,,1.82,0.58,,,,93.5,,,,
824,Hikosaka-Japan_Chiba_Japan,TEMP_FOR,Maesa japonica,S,E,B,C3,N,1.16,1.91,0.043,-0.048,,,1.78,0.70,,,,88.9,,,,
825,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,Boehmeria sp,S,E,B,C3,N,,1.74,0.398,0.143,,,2.01,0.74,,,,,,,,
826,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,Syzygium sp1,T,E,B,C3,N,,1.82,0.170,-0.043,,,1.72,0.53,,,,,,,,
827,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,Macaranga triloba,T,E,B,C3,N,,1.54,0.515,0.067,,,2.34,0.90,,,,,,,,
828,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,Parashorea malaanonan,T,E,B,C3,N,,1.69,0.280,-0.032,,,1.94,0.63,,,,,,,,
829,Hikosaka-Malaysia_Mt_Kinabalu_low,TROP_RF,Shorea argentifolia,T,E,B,C3,N,,1.67,0.324,-0.011,,,2.03,0.69,,,,,,,,
830,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,Drimys piperita,S,E,B,C3,N,,1.82,0.180,0.004,,,1.87,0.68,,,,,,,,
831,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,Syzygium confertum,T,E,B,C3,N,,2.06,0.132,0.187,,,1.67,0.77,,,,,,,,
832,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,Macaranga sp,T,E,B,C3,N,,1.82,0.171,-0.005,,,1.89,0.71,,,,,,,,
833,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,Trigonobalanus verticillatus,T,E,B,C3,N,,1.99,0.184,0.171,,,1.74,0.73,,,,,,,,
834,Hikosaka-Malaysia_Mt_Kinabalu_med,TROP_RF,Tristaniopsis clementis,T,E,B,C3,N,,2.10,0.053,0.146,,,1.77,0.82,,,,,,,,
835,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,Drimys piperita,S,E,B,C3,N,,2.07,0.253,0.327,,,1.51,0.57,,,,,,,,
836,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,Syzygium houttuynii,T,E,B,C3,N,,2.26,0.101,0.352,,,1.29,0.54,,,,,,,,
837,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,Lithocarpus havilandii,T,E,B,C3,N,,2.32,0.085,0.404,,,1.24,0.55,,,,,,,,
838,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,Photinia davidiana,T,E,B,C3,N,,2.17,0.347,0.505,,,1.66,0.81,,,,,,,,
839,Hikosaka-Malaysia_Mt_Kinabalu_high,TEMP_RF,Schima brevifolia,T,E,B,C3,N,,2.20,0.087,0.294,,,1.43,0.61,,,,,,,,
840,Hikosaka-Malaysia_Mt_Kinabalu_highest,TEMP_RF,Drimys piperita,S,E,B,C3,N,,2.07,0.346,0.416,,,1.39,0.44,,,,,,,,
841,Hikosaka-Malaysia_Mt_Kinabalu_highest,TEMP_RF,Syzygium sp2,T,E,B,C3,N,,2.26,0.246,0.503,,,1.20,0.45,,,,,,,,
842,Hikosaka-Malaysia_Mt_Kinabalu_highest,TEMP_RF,Photinia davidiana,T,E,B,C3,N,,2.11,0.336,0.428,,,1.50,0.57,,,,,,,,
843,Jayasekara_Sri_Lanka,TEMP_RF,Scolopia crassipes,T,,,,N,,2.08,0.134,0.212,-1.075,-0.996,,,,,,,,,,
844,Jayasekara_Sri_Lanka,TEMP_RF,Eugenia mabaeoides,T,,,,N,,1.95,0.111,0.064,-1.147,-1.193,,,,,,,,,,
845,Jayasekara_Sri_Lanka,TEMP_RF,Acronychia pedunculata,T,,,,N,,2.01,0.322,0.334,-1.025,-1.013,,,,,,,,,,
846,Jayasekara_Sri_Lanka,TEMP_RF,Actinodaphne ambigua,T,,,,N,,2.18,0.057,0.241,-1.174,-0.989,,,,,,,,,,
847,Jayasekara_Sri_Lanka,TEMP_RF,Allophylus varians,T,,,,N,,1.94,0.356,0.301,-0.818,-0.874,,,,,,,,,,
848,Jayasekara_Sri_Lanka,TEMP_RF,Michelia nilagirica,T,,,,N,,1.92,0.262,0.182,-0.940,-1.021,,,,,,,,,,
849,Jose_Gillespie_Indiana,TEMP_FOR,Acer saccharum,T,D,B,C3,N,,1.81,0.207,0.021,-0.959,-1.144,,,,,,,,,,
850,Jose_Gillespie_Indiana,TEMP_FOR,Carya glabra,T,D,B,C3,N,,1.87,0.220,0.093,-0.921,-1.048,,,,,,,,,,
851,Jose_Gillespie_Indiana,TEMP_FOR,Fagus grandifolia,T,D,B,C3,N,,1.83,0.294,0.124,-0.921,-1.091,,,,,,,,,,
852,Jose_Gillespie_Indiana,TEMP_FOR,Liriodendron tulipifera,T,D,B,C3,N,,1.88,0.236,0.120,-0.921,-1.036,,,,,,,,,,
853,Jose_Gillespie_Indiana,TEMP_FOR,Quercus alba,T,D,B,C3,N,,1.90,0.253,0.149,-0.721,-0.825,,,,,,,,,,
854,Jose_Gillespie_Indiana,TEMP_FOR,Quercus prinus,T,D,B,,N,,1.94,0.176,0.116,-0.886,-0.946,,,,,,,,,,
855,Jose_Gillespie_Indiana,TEMP_FOR,Quercus rubra,T,D,B,C3,N,,1.97,0.210,0.182,-0.921,-0.948,,,,,,,,,,
856,Jose_Gillespie_Indiana,TEMP_FOR,Quercus velutina,T,D,B,,N,,2.02,0.140,0.162,-0.921,-0.899,,,,,,,,,,
857,Jurik86_Pellston_MI,TEMP_FOR,Acer rubrum,T,D,B,C3,N,,1.86,,,,,2.06,0.92,,,,,,,,
858,Jurik86_Pellston_MI,TEMP_FOR,Acer saccharum,T,D,B,C3,N,,1.77,,,,,1.93,0.70,,,,,,,,
859,Jurik86_Pellston_MI,TEMP_FOR,Fagus grandfolia,T,D,B,C3,N,,1.79,,,,,2.02,0.81,,,,,,,,
860,Jurik86_Pellston_MI,TEMP_FOR,Populus grandidentata,T,D,B,C3,N,,1.89,,,,,2.29,1.18,,,,,,,,
861,Jurik86_Pellston_MI,TEMP_FOR,Quercus rubra,T,D,B,C3,N,,2.04,,,,,2.06,1.10,,,,,,,,
862,Kitajima_Panama,TROP_RF,Anacardium excelsum,T,E,B,,N,0.93,1.92,0.220,0.145,,,2.10,1.02,2.40,1.41,0.34,108.3,,,,
863,Kitajima_Panama,TROP_RF,Luehea seemannii,T,D,B,,N,0.80,2.14,0.307,0.443,,,2.13,1.27,2.89,1.33,0.47,101.1,,,,
864,Kitajima_Panama,TROP_RF,Castilla elastica,T,D,B,,N,0.76,1.89,0.328,0.217,,,2.00,0.89,2.55,1.43,0.32,77.0,,,,
865,Kitajima_Panama,TROP_RF,Antirrhoea trichantha,T,D,B,,N,0.76,1.97,0.316,0.284,,,2.32,1.29,2.94,1.26,0.23,90.4,,,,
866,Kitajima_Panama,TROP_RF,Urera caracasana,T,D,B,,N,0.48,1.83,0.583,0.409,,,2.36,1.19,3.12,1.46,0.29,71.9,,,,
867,Kitajima_Panama,TROP_RF,Cecropia longipes,T,D,B,,N,0.46,2.06,0.417,0.478,,,2.24,1.30,2.56,1.34,0.40,150.9,,,,
868,Koike_SAPPORO__JAPAN,TEMP_FOR,Acer palmatum,T,D,B,C3,N,,1.65,,,,,1.97,0.62,,,,,,,,
869,Koike_SAPPORO__JAPAN,TEMP_FOR,Acer mono,T,D,B,C3,N,0.65,1.75,0.204,-0.044,,,1.91,0.66,,,,,,,,
870,Koike_SAPPORO__JAPAN,TEMP_FOR,Carpinus cordata,T,D,B,C3,N,,1.80,,,,,1.94,0.73,,,,,,,,
871,Koike_SAPPORO__JAPAN,TEMP_FOR,Cornus contraversa,T,D,B,C3,N,0.63,1.80,,,,,1.97,0.77,,,,,,,,
872,Koike_SAPPORO__JAPAN,TEMP_FOR,Ostrya japonica,T,D,B,C3,N,0.67,1.81,,,,,2.01,0.82,,,,,,,,
873,Koike_SAPPORO__JAPAN,TEMP_FOR,Populus sieboldii,T,D,B,C3,N,0.55,1.83,,,,,2.18,1.01,,,,,,,,
874,Koike_SAPPORO__JAPAN,TEMP_FOR,Prunus ssiori,T,D,B,C3,N,,1.86,,,,,1.88,0.74,,,,,,,,
875,Koike_SAPPORO__JAPAN,TEMP_FOR,Maackia amurensis,T,D,B,C3,Y,0.63,1.88,,,,,1.95,0.83,,,,,,,,
876,Koike_SAPPORO__JAPAN,TEMP_FOR,Juglans ailanthifolia,T,D,B,C3,N,0.57,1.90,0.491,0.392,,,1.96,0.86,,,,,,,,
877,Koike_SAPPORO__JAPAN,TEMP_FOR,Cercidiphyllum japonicum,T,D,B,C3,N,0.64,1.86,,,,,2.01,0.86,,,,,,,,
878,Koike_SAPPORO__JAPAN,TEMP_FOR,Sorbus commixta,T,D,B,C3,N,0.71,1.87,,,,,2.00,0.87,,,,,,,,
879,Koike_SAPPORO__JAPAN,TEMP_FOR,Fraxinus madshurica,T,D,B,C3,N,0.57,1.86,0.380,0.238,,,2.02,0.88,,,,,,,,
880,Koike_SAPPORO__JAPAN,TEMP_FOR,Kalopanax pictus,T,D,B,C3,N,,1.88,,,,,2.01,0.89,,,,,,,,
881,Koike_SAPPORO__JAPAN,TEMP_FOR,Tilia japonica,T,D,B,C3,N,,1.87,0.380,0.249,,,2.03,0.90,,,,,,,,
882,Koike_SAPPORO__JAPAN,TEMP_FOR,Betula maximowicziana,T,D,B,C3,N,,1.86,,,,,2.07,0.93,,,,,,,,
883,Koike_SAPPORO__JAPAN,TEMP_FOR,Betula platyphylla,T,D,B,C3,N,,1.86,0.531,0.395,,,2.12,0.98,,,,,,,,
884,Koike_SAPPORO__JAPAN,TEMP_FOR,Alnus hirsuta,T,D,B,C3,Y,0.52,1.89,0.505,0.400,,,2.16,1.05,,,,,,,,
885,Koike_SAPPORO__JAPAN,TEMP_FOR,Tilia maximowicziana,T,D,B,C3,N,,1.91,,,,,1.94,0.85,,,,,,,,
886,Koike_SAPPORO__JAPAN,TEMP_FOR,Ulmus davidiana,T,D,B,C3,N,,1.92,0.505,0.424,,,1.95,0.86,,,,,,,,
887,Koike_SAPPORO__JAPAN,TEMP_FOR,Prunus sargentii,T,D,B,C3,N,,1.93,,,,,1.97,0.90,,,,,,,,
888,Koike_SAPPORO__JAPAN,TEMP_FOR,Sorbus alnifolia,T,D,B,C3,N,,1.93,,,,,1.98,0.91,,,,,,,,
889,Koike_SAPPORO__JAPAN,TEMP_FOR,Magnolia obovata,T,D,B,C3,N,0.62,1.91,,,,,2.03,0.94,,,,,,,,
890,Koike_SAPPORO__JAPAN,TEMP_FOR,Alnus japonica,T,D,B,C3,Y,,1.91,,,,,2.10,1.01,,,,,,,,
891,Koike_SAPPORO__JAPAN,TEMP_FOR,Betula ermanii,T,D,B,C3,N,0.65,1.91,,,,,2.15,1.06,,,,,,,,
892,Koike_SAPPORO__JAPAN,TEMP_FOR,Fagus crenata,T,D,B,C3,N,0.73,1.98,,,,,1.76,0.74,,,,,,,,
893,Koike_SAPPORO__JAPAN,TEMP_FOR,Quercus mongolica,T,D,B,C3,N,0.72,1.96,,,,,1.87,0.83,,,,,,,,
894,Koike_SAPPORO__JAPAN,TEMP_FOR,Ulmus laciniata,T,D,B,C3,N,0.55,1.98,,,,,1.92,0.90,,,,,,,,
895,Koike_SAPPORO__JAPAN,TEMP_FOR,Betula davurica,T,D,B,C3,N,,1.98,,,,,1.98,0.96,,,,,,,,
896,Koike_SAPPORO__JAPAN,TEMP_FOR,Salix hultenii,T,D,B,C3,N,,2.01,,,,,1.85,0.86,,,,,,,,
897,Koike_SAPPORO__JAPAN,TEMP_FOR,Populus maximowiczii,T,D,B,C3,N,0.56,2.01,,,,,2.10,1.11,,,,,,,,
898,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,Nothofagus menziesii,T,,,,N,,2.18,0.127,0.305,,,,,,,,,,,,
899,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,Griselinia littoralis,T,,,,N,,2.03,0.020,0.050,,,,,,,,,,,,
900,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,Gaultheria antipoda,S,,,,N,,2.05,-0.039,0.016,,,,,,,,,,,,
901,Korner_et_al_86_Haast_Valley_NZ,TEMP_RF,Ranunculus hirtus,H,,,,N,,1.78,0.146,-0.075,,,,,,,,,,,,
902,Kudo_Cornelissen_Abisko,TUNDRA,Achillea millefolium,H,,B,C3,N,,1.69,0.359,0.052,,,,,,,,,,,,
903,Kudo_Cornelissen_Abisko,TUNDRA,Alnus incana,T,D,B,C3,Y,,1.86,0.507,0.366,,,,,,,,,,,,
904,Kudo_Cornelissen_Abisko,TUNDRA,Andromeda polifolia,S,E,B,C3,N,1.17,2.11,0.191,0.302,,,,,,,,,,,,
905,Kudo_Cornelissen_Abisko,TUNDRA,Angelica sylvestris,H,,B,C3,N,,1.48,0.473,-0.050,,,,,,,,,,,,
906,Kudo_Cornelissen_Abisko,TUNDRA,Anthriscus sylvestris,H,,B,C3,N,,1.37,0.375,-0.255,,,,,,,,,,,,
907,Kudo_Cornelissen_Abisko,TUNDRA,Arctostaphylos alpina,S,D,B,C3,N,0.47,1.93,0.158,0.091,,,,,,,,,,,,
908,Kudo_Cornelissen_Abisko,TUNDRA,Astragalus alpinus,H,D,B,C3,Y,,1.61,0.594,0.280,,,,,,,,,,,,
909,Kudo_Cornelissen_Abisko,TUNDRA,Astragalus frigidus,H,D,B,C3,Y,,1.67,0.704,0.378,,,,,,,,,,,,
910,Kudo_Cornelissen_Abisko,TUNDRA,Bartsia alpina,H,D,B,C3,N,,1.86,0.420,0.276,,,,,,,,,,,,
911,Kudo_Cornelissen_Abisko,TUNDRA,Betula nana,S,D,B,C3,N,0.48,1.91,0.350,0.258,,,,,,,,,,,,
912,Kudo_Cornelissen_Abisko,TUNDRA,Betula pubescens,T,D,B,C3,N,,1.84,0.441,0.279,,,2.08,0.92,,,,,,,,
913,Kudo_Cornelissen_Abisko,TUNDRA,Calamagrostis lapponica,G,,B,C3,N,,1.59,0.245,-0.165,,,,,,,,,,,,
914,Kudo_Cornelissen_Abisko,TUNDRA,Caltha palustris,H,,B,C3,N,,1.38,0.553,-0.066,,,,,,,,,,,,
915,Kudo_Cornelissen_Abisko,TUNDRA,Carex capitata,G,,B,C3,N,,1.88,0.232,0.108,,,,,,,,,,,,
916,Kudo_Cornelissen_Abisko,TUNDRA,Carex rostrata,G,,B,C3,N,,1.84,0.383,0.221,,,,,,,,,,,,
917,Kudo_Cornelissen_Abisko,TUNDRA,Carex vaginata,G,,B,C3,N,,1.79,0.286,0.080,,,,,,,,,,,,
918,Kudo_Cornelissen_Abisko,TUNDRA,Cassiope tetragona,S,E,B,C3,N,1.52,,-0.071,,,,,,,,,,,,,
919,Kudo_Cornelissen_Abisko,TUNDRA,Chamerion angustifolium,H,,B,C3,N,,1.82,0.470,0.291,,,,,,,,,,,,
920,Kudo_Cornelissen_Abisko,TUNDRA,Cornus suecica,H,,B,C3,N,,1.51,0.315,-0.176,,,,,,,,,,,,
921,Kudo_Cornelissen_Abisko,TUNDRA,Deschampsia cespitosa,G,,B,C3,N,,1.74,0.270,0.014,,,,,,,,,,,,
922,Kudo_Cornelissen_Abisko,TUNDRA,Diphasiastrum complanatum,F,E,B,C3,N,,,-0.095,,,,,,,,,,,,,
923,Kudo_Cornelissen_Abisko,TUNDRA,Drosera rotundifolia,H,,B,C3,N,,1.40,0.079,-0.520,,,1.66,0.06,,,,,,,,
924,Kudo_Cornelissen_Abisko,TUNDRA,Dryas octopetala,S,E,B,C3,N,0.44,1.97,0.306,0.280,,,,,,,,,,,,
925,Kudo_Cornelissen_Abisko,TUNDRA,Elytrigia repens,G,,B,C3,N,,1.62,0.388,0.005,,,,,,,,,,,,
926,Kudo_Cornelissen_Abisko,TUNDRA,Empetrum hermaphroditum,S,E,B,,N,1.61,2.25,-0.108,0.140,,,,,,,,,,,,
927,Kudo_Cornelissen_Abisko,TUNDRA,Empetrum nigrum,S,E,B,C3,N,1.61,1.94,0.078,0.019,,,1.60,0.54,,,,,,,,
928,Kudo_Cornelissen_Abisko,TUNDRA,Equisetum sylvaticum,F,,B,C3,N,,1.61,0.363,-0.025,,,,,,,,,,,,
929,Kudo_Cornelissen_Abisko,TUNDRA,Eriophorum angustifolium,G,,B,C3,N,,1.88,0.409,0.293,,,,,,,,,,,,
930,Kudo_Cornelissen_Abisko,TUNDRA,Euphrasia frigida,H,,B,C3,N,,1.49,0.730,0.217,,,,,,,,,,,,
